Tiempo,Temperatura
6.185947270393371582e+02,6.849964310152161318e+01
6.196373505592346191e+02,6.851752866713216861e+01
6.206800010204315186e+02,6.853541106365025826e+01
6.217161898612976074e+02,6.854435107376284009e+01
6.227523586750030518e+02,6.856222871822127729e+01
6.237885580062866211e+02,6.858010319569220314e+01
6.248247609138488770e+02,6.860690897563766555e+01
6.258609762191772461e+02,6.862477553932059493e+01
6.269035789966583252e+02,6.864263893895981994e+01
6.279462485313415527e+02,6.866942810767511673e+01
6.289891386032104492e+02,6.869621016201814712e+01
6.300317571163177490e+02,6.872298510482259815e+01
6.310743329524993896e+02,6.874083111723609818e+01
6.321169099807739258e+02,6.876759421376915782e+01
6.331595427989959717e+02,6.878543233128907275e+01
6.342021090984344482e+02,6.882109909769484091e+01
6.352446587085723877e+02,6.883892774825589811e+01
6.362872130870819092e+02,6.886566481064977552e+01
6.373297941684722900e+02,6.889239477941666223e+01
6.383723678588867188e+02,6.891021081908468204e+01
6.394085586071014404e+02,6.893692897141173148e+01
6.404447286128997803e+02,6.895473713606504873e+01
6.414809029102325439e+02,6.898144347978602298e+01
6.425170764923095703e+02,6.899924377464483882e+01
6.435532777309417725e+02,6.901759964183489160e+01
6.445959146022796631e+02,6.903597705454073719e+01
